Date,Open,High,Low,Close,Volume
2017-07-26,153.35772,153.92814,153.05574,153.47516,15734376
2017-07-27,153.76876,153.97847,147.28868,150.55598,32434022
2017-07-28,149.8891,150.22044,149.19285,149.51162,17196258
2017-07-31,149.90168,150.32949,148.12333,148.71891,19713817
2017-08-01,149.09639,150.21205,148.40853,150.04848,34136713
2017-08-02,159.30514,159.74553,156.15947,157.13253,69736735
2017-08-03,157.03606,157.20383,155.02283,155.56808,26624775
2017-08-04,156.07558,157.38418,155.68552,156.40273,20521045
2017-08-07,157.04864,158.94443,156.67116,158.82699,21829587
2017-08-08,158.60889,161.83426,158.28594,160.04751,36133180
2017-08-09,159.28417,161.27642,159.13737,161.06671,26064479
2017-08-10,159.89357,159.99801,154.63369,155.32303,39658540
2017-08-11,156.58891,158.59844,156.07086,157.49132,26237148
2017-08-14,159.32121,160.20691,158.74467,159.83926,22075127
2017-08-15,160.65811,162.18301,160.1317,161.58559,29380213
2017-08-16,161.93235,162.51724,160.14424,160.95056,27623606
2017-08-17,160.53278,160.70824,157.84226,157.86733,27496491
2017-08-18,157.86733,159.47579,156.70589,157.50803,27398405
2017-08-21,157.50803,157.89657,155.10579,157.20723,26340866
2017-08-22,158.24751,159.99801,158.03026,159.76823,21568837
2017-08-23,159.07054,160.47846,158.87,159.97712,19378689
2017-08-24,160.43669,160.74167,158.57755,159.2669,19803306
2017-08-25,159.63037,160.56202,159.2669,159.85179,25467662
2017-08-28,160.1317,161.99501,159.92281,161.4519,25698066
2017-08-29,160.10246,163.15645,159.99801,162.93502,29457848
2017-08-30,163.79148,163.88757,162.62169,163.36952,27223124
2017-08-31,163.6369,164.50171,163.49485,163.99201,26746233
2017-09-01,164.7858,164.93202,163.62436,164.03379,16575669
2017-09-05,163.7497,164.23432,160.56202,162.07021,29505379
2017-09-06,162.72613,163.01858,160.53278,161.9031,21612365
2017-09-07,162.07857,162.23733,160.36566,161.26389,21907297
2017-09-08,160.85865,161.15109,158.55667,158.65276,28425332
2017-09-11,160.50771,162.03679,159.88104,161.48532,31516876
2017-09-12,162.62169,163.95023,158.76556,160.85865,71607414
2017-09-13,159.86432,159.95624,157.91746,159.63037,44868013
2017-09-14,158.98698,159.3797,158.10128,158.29764,23639906
